Title,PoliticalParty,Description,Cost,Location,Date,AnnouncedBy,Portfolio,AnnouncementType,WhoAnnouncedType,CommitmentType,CriticalDate,ThemeType,PackageType,OfficialCosting,CostingRequired,Status,Id
National Fuel Reserve,Australian Labor Party,"Labor has committed to safeguard Australia's fuel security with a boost to Australia's fuel stocks. Labor will commence a detailed consultation process with industry, oil and gas importers, refineries, and national security experts around the design of a government-owned National Fuel Reserve. This commitment is designed to help Australia reach its stockpile target as a member of the International Energy Agency and party to the International Energy Program.<div><br></div><div>This commitment builds on Labor's commitment to build a National Strategic Fleet.</div>",,,28/02/2019,,Environment and Energy,Press Release,Leader,National,5,,,,,,354
Tech upgrades for Curtin University,Australian Labor Party,"Labor has committed to invest $3 million towards upgraded technology for Curtin University's Hub for Immersive Visualisation and eResearch (HIVE). Labor's investment will also support industry training at Curtin, allowing mining, oil, gas and agriculture businesses to more easily partner with the university on training, research and development.<div><br></div><div>This commitment forms part of Labor's University Future Fund.</div>",$3 million,,27/02/2019,,Education and Training,Press Release,Deputy Leader,Electorate,5,,University Future Fund (ALP),,,,355
Making Unfair Contract Terms Illegal,Australian Labor Party,"Labor has committed to making unfair contract terms illegal, introducing penalties of up to $10 million for contracts that contain unfair contract terms.<div><br></div><div>Labor will also expand the definition of small businesses who will be eligible for protection from these contract terms.</div>",,,25/01/2019,,Treasury,Policy document,Relevant Spokesperson,National,5,,,TRUE,,,356
Cancel Privatisation of Visa Processing,Australian Labor Party,Labor has committed to cancelling the privatisation of the visa processing system and terminating the tender process to outsource this function of the&nbsp;Home Affairs Department.&nbsp;,,,9/12/2018,,Home Affairs,Press Release,Relevant Spokesperson,National,3,,,TRUE,,,357
South Rockhampton flood levee,Australian Labor Party,<div>Labor has committed $25 million to build the South Rockhampton flood levee to better protect homes and businesses from flood waters.<br></div><div><br></div><div>Queensland Labor has already committed $25 million and the Rockhampton Regional Council has committed $10 million.</div>,$25 million,,3/05/2017,,"Infrastructure, Regional Development and Cities",Press Release,Relevant Spokesperson,Electorate,5,,Plan for Real Jobs in Regional Queensland (ALP),TRUE,,,358
Restore Funding for Stephanie Alexander Kitchen Garden Program,Australian Labor Party,"<div>Labor has committed $6 million to restore funding for the Stephanie Alexander Kitchen Garden Program in schools to tackle childhood obesity. School children learn about fruit, vegetables and herbs - how to grow them and how to use them to make healthy food.&nbsp;</div><div><br></div><div>This commitment will restore federal support for around 800 schools that have already implemented the program. It will also support at least 1,200 additional schools and early learning centres to implement the Stephanie Alexander Kitchen Garden Program. Of these, around 180 schools in three disadvantaged regions will receive intense services and supports. Labor will announce these regions after further consultations.</div>",$6 million,,5/03/2019,,Education and Training,Press Release,Deputy Leader,National,5,,,TRUE,,,359
Abolish the Public Service Staffing Cap,Australian Labor Party,"<div>Labor has committed to abolish the Australian Public Service average staffing level (ASL) cap, strengthening capacity and capability within the APS. Agencies will be allowed to set their staffing levels based on operational requirements, however agencies' overall funding levels will remain capped, meaning there will be no impact on the budget.</div>",,,9/08/2018,,Finance,Press Release,Relevant Spokesperson,National,5,,,TRUE,,,360
Trade Missions to Indonesia,Australian Labor Party,Labor has committed to conduct annual trade missions to Indonesia as part of its <i>FutureAsia </i>initiative.,,,4/03/2019,,Foreign Affairs and Trade,Press Release,Leader,International,5,,FutureAsia Plan (ALP),TRUE,,,361
My Health Record Review,Australian Labor Party,"Labor has committed to&nbsp;conducting an Independent Privacy Commissioner review of the My Health Record system.&nbsp;<div><br></div><div><div>In particular, the review would consider:</div><div><ul><li>The appropriate balance between utility for clinicians, patients and others (such as carers), and privacy and security for individuals;</li><li>The difficulty of ensuring informed consent in an opt-out model, and measures to encourage consumer engagement and informed choice;</li><li>Changes to default access settings that are necessary because of the shift to an opt-out model (from an opt-in model, where informed consent was assured);</li><li>Particular protections for vulnerable people, including minors aged 14-17 and families fleeing domestic violence; and</li><li>Further legislative, policy and system changes that are needed to achieve these aims.</li></ul></div></div>",,,20/02/2018,,Health,Press Release,Relevant Spokesperson,National,5,,,TRUE,,,362
Replace the Community Development Program (CDP),Australian Labor Party,Labor has committed to abolish the current Community Development Program and replace it with a new program. These new arrangements will be worked through on the principle of co-design with First Nations peoples.,,,17/12/2018,,Indigenous Affairs,Speech,Relevant Spokesperson,National,5,,,TRUE,FALSE,,363
Indonesia Economic Strategy,Australian Labor Party,Labor has committed to commission an independent Indonesia Economic Strategy similar to the process used for Peter Varghese's India Economic Strategy report. This will be part of Labor's <i>FutureAsia</i> initiative.,,,4/03/2019,,Foreign Affairs and Trade,Press Release,Leader,National,5,,FutureAsia Plan (ALP),TRUE,FALSE,,364
Reciprocal Internships with Indonesia,Australian Labor Party,Labor has committed to establish reciprocal internship arrangements for recent Australian and Indonesian graduates.,,,4/03/2019,,Foreign Affairs and Trade,Press Release,Leader,International,5,,FutureAsia Plan (ALP),TRUE,FALSE,,365
Restore Funding to Switchboard Victoria,Australian Labor Party,"Labor has committed $300,000 to restore funding to Switchboard Victoria to combat the impact of loneliness and social isolation for older LGBTI Victorians. The commitment will fund 65 volunteers to deliver 3,380 hours of care a year to lonely older LGBTI Victorians.","$300,000",,4/03/2019,,Health,Press Release,Relevant Spokesperson,State,5,,,TRUE,FALSE,,366
Establish a Veteran's Support Hub in the Northern Territory,Australian Labor Party,"Labor has committed to provide $4.9 million to establish the Scott Palmer Service and Veteran's Support Hub in the Northern Territory, a centre dedicated to provide support to current and ex-serving defence personnel, first responders and their families.",$4.9 million,,15/11/2018,,Health,Press Release,Relevant Spokesperson,State,5,,,TRUE,FALSE,,367
Flexible Support Packages for Domestic Violence Survivors,Australian Labor Party,"Labor has committed to deliver 20,000 Flexible Support Packages over four years to be funded from Labor's Banking Fairness Fund at a cost of $60 million. This commitment will provide practical support to help those who have experienced domestic and family violence leave violent relationships and rebuild their lives.",$60 million over four years,,4/03/2019,,Social Services,Press Release,Leader,National,5,,Banking Fairness Fund (ALP),TRUE,FALSE,,368
Ellenbrook Indoor Leisure Centre,Australian Labor Party,"Labor has committed to invest $17 million towards the Ellenbrook Indoor Leisure Centre, which will include a pool and indoor multi-purpose ball courts.",$17 million,,15/11/2018,,"Infrastructure, Regional Development and Cities",Press Release,Leader,Electorate,5,,,TRUE,FALSE,,369
